name,num_handles,num_threads,nice,memory_percent,cpu_percent,pid,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
svchost.exe,220,3,,0.1184528456102586,0.0,1076,0,0,0,0,0.09375,0.09375,53,0,9.703125,2.1484375,benign
msedge.exe,167,8,32.0,0.1951324654739043,0.0,1112,36,43,33248,314936,0.015625,0.03125,194,0,15.984375,7.81640625,benign
svchost.exe,409,8,,0.1810649978994171,0.0,1144,1,29,6,937988,0.234375,0.21875,1919,0,14.83203125,5.625,benign
svchost.exe,112,3,,0.0649964688272071,0.0,1184,0,0,0,0,0.015625,0.0,34,0,5.32421875,1.2265625,benign
svchost.exe,390,6,,0.2353320423054052,0.0,1192,1012,279,49773904,2542328,0.1875,0.84375,2075,0,19.27734375,17.49609375,benign
svchost.exe,253,4,,0.1423913836522674,0.0,1204,0,0,0,0,0.09375,0.046875,50,0,11.6640625,1.984375,benign
svchost.exe,158,2,,0.0731031450565726,0.0,1236,0,0,0,0,0.015625,0.09375,1797,0,5.98828125,1.40625,benign
svchost.exe,229,4,,0.1427251879675942,0.0,1292,230,0,2304000,0,0.0,0.15625,102,0,11.69140625,2.63671875,benign
svchost.exe,132,3,,0.0933698356299865,0.0,1392,0,0,0,0,0.03125,0.015625,50,0,7.6484375,3.546875,benign
svchost.exe,324,8,,0.2424849919195512,0.0,1412,0,0,0,0,0.234375,0.328125,1978,0,19.86328125,3.421875,benign
svchost.exe,215,5,,0.0894118701768256,0.0,1492,0,0,0,0,0.125,0.09375,870,0,7.32421875,1.96875,benign
svchost.exe,312,10,,0.1922712856282459,0.0,1524,67,4,256302,35789,0.046875,0.203125,945,0,15.75,3.875,benign
svchost.exe,119,1,,0.0865506903311672,0.0,1596,0,0,0,0,0.015625,0.0,41,0,7.08984375,1.38671875,benign
svchost.exe,160,4,,0.0916054413918304,0.0,1616,34,0,714,0,0.03125,0.046875,125,0,7.50390625,1.78125,benign
svchost.exe,246,5,,0.9639791763330832,0.0,1628,58,89,45006345,3770402,5.71875,20.5625,13698,0,78.96484375,69.71875,benign
svchost.exe,211,3,,0.0700989062186313,0.0,1648,0,0,0,0,0.03125,0.046875,482,0,5.7421875,1.28515625,benign
Code.exe,212,7,32.0,0.3569321857458881,0.0,1676,21,17,6767,204,0.0,0.0625,80,0,29.23828125,10.29296875,benign
MemCompression,0,50,,0.001669021576634,0.0,1712,0,0,0,0,0.0,0.03125,244,0,0.13671875,0.0703125,benign
svchost.exe,169,3,,0.0974231737446692,0.0,1832,72,0,1448,0,0.0,0.03125,186,0,7.98046875,1.79296875,benign
svchost.exe,386,4,,0.1372889462608432,0.0,1872,1,1,116,160,0.0625,0.234375,453,0,11.24609375,3.859375,benign
svchost.exe,179,2,,0.0949434845450986,0.0,1892,0,0,0,0,0.09375,0.125,159,0,7.77734375,1.703125,benign
svchost.exe,148,7,,0.0961356428141229,0.0,1900,0,0,0,0,0.640625,0.734375,2430,0,7.875,2.0,benign
svchost.exe,369,12,,0.1550759476346864,0.0,1936,0,0,0,0,0.359375,0.375,5868,0,12.703125,3.22265625,benign
svchost.exe,227,2,,0.1401978124372626,0.0,1940,0,0,0,0,0.0625,0.015625,63,0,11.484375,2.234375,benign
svchost.exe,493,7,,0.1120628772882881,0.0,2020,0,0,0,0,0.203125,0.296875,129,0,9.1796875,2.765625,benign
WmiPrvSE.exe,172,5,,0.1111568370038297,0.0,2060,1,0,10859,0,0.078125,0.046875,125,0,9.10546875,2.33203125,benign
MicrosoftEdgeUpdate.exe,206,4,,0.0225556344499405,0.0,2100,1,31,92,3430,0.0,0.140625,986,0,1.84765625,1.9296875,benign
svchost.exe,163,2,,0.0885535162231281,0.0,2172,0,0,0,0,0.03125,0.109375,51,0,7.25390625,1.6796875,benign
svchost.exe,183,5,,0.2086753834100208,0.0,2224,17313,49,8854780,14864,1.46875,1.3125,1579,0,17.09375,8.6640625,benign
svchost.exe,267,9,,0.0946096802297718,0.0,2240,2,0,824,0,0.046875,0.265625,168,0,7.75,2.6328125,benign
svchost.exe,129,3,,0.0765842472021237,0.0,2252,0,0,0,0,0.015625,0.046875,91,0,6.2734375,1.47265625,benign
svchost.exe,353,5,,0.1147333118109027,0.0,2292,0,0,0,0,0.015625,0.125,144,0,9.3984375,2.23828125,benign
conhost.exe,107,6,32.0,0.0739614990102702,0.0,2408,123,246,135,9220,0.078125,0.28125,6791,0,6.05859375,1.27734375,benign
svchost.exe,227,5,,0.1644224684638373,0.0,2424,4,0,512,0,0.03125,0.078125,475,0,13.46875,2.3125,benign
spoolsv.exe,432,7,,0.1784422497075636,0.0,2556,2,2,232,320,0.046875,0.140625,508,0,14.6171875,5.078125,benign
RuntimeBroker.exe,125,3,32.0,0.0950388572066205,0.0,2568,1,0,15572,0,0.0,0.0625,47,0,7.78515625,1.58984375,benign
svchost.exe,418,14,,0.2143500567705767,0.0,2584,1,2,116,32928,0.171875,1.546875,908,0,17.55859375,8.89453125,benign
msedge.exe,343,25,32.0,1.8102684883480835,0.0,2608,4748,5158,610664,3105486,2.828125,1.703125,24189,0,148.2890625,92.8671875,benign
svchost.exe,181,5,,0.0975185464061912,0.0,2620,72,52,4316,5204,0.015625,0.046875,59,0,7.98828125,1.94140625,benign
svchost.exe,928,5,,0.1929865805896605,0.0,2764,13769,138,84859531,633694,0.640625,1.609375,7011,0,15.80859375,6.07421875,benign
svchost.exe,480,8,,0.3502084131085908,0.0,2772,434,105,8501819,214163,1.96875,0.71875,2464,0,28.6875,15.328125,benign
svchost.exe,340,16,,0.2190710035159131,0.0,2780,182,67,59990392,575150,0.671875,0.59375,2988,0,17.9453125,8.2890625,benign
svchost.exe,366,11,,0.2045743589645771,0.0,2792,4009,6,32279864,117560,0.40625,0.84375,201,0,16.7578125,7.85546875,benign
MpDefenderCoreService.exe,451,10,,0.2372394955358441,0.0,2848,144,4,1344563,9546,0.09375,0.4375,410,0,19.43359375,8.046875,benign
svchost.exe,206,6,,0.110536914703937,0.0,2864,47,32,3624,9780,0.0,0.09375,463,0,9.0546875,2.328125,benign
svchost.exe,133,1,,0.0812098212859382,0.0,2888,0,0,0,0,0.015625,0.046875,29,0,6.65234375,1.53515625,benign
svchost.exe,126,3,,0.0673807853652558,0.0,2904,1,0,512,0,0.0,0.0,51,0,5.51953125,1.23046875,benign
SystemSettings.exe,819,18,32.0,0.0174055107277554,0.0,2928,18,1,18707,24,0.296875,0.859375,4203,0,1.42578125,20.09375,benign
MsMpEng.exe,870,30,,3.485727719634894,0.0,2932,783,345,52253426,925224,22.765625,8.546875,85866,0,285.53515625,310.67578125,benign
svchost.exe,379,7,,0.2461091530573852,0.0,2948,700,17,2871144,33120,0.078125,0.15625,833,0,20.16015625,4.40625,benign
svchost.exe,106,4,,0.0662839997577534,0.0,3024,0,0,0,0,0.015625,0.046875,202,0,5.4296875,1.34375,benign
svchost.exe,364,6,,0.1276563074471265,0.0,3048,1,1,116,160,0.109375,0.125,202,0,10.45703125,2.65625,benign
taskhostw.exe,259,8,32.0,0.1798728396303928,0.0,3068,101,143,5722112,3321856,0.078125,0.265625,837,0,14.734375,5.6015625,benign
powershell.exe,801,17,32.0,0.9364641634840016,0.0,3184,147,321,486168,3374,4.53125,3.09375,12183,0,76.7109375,64.3671875,benign
svchost.exe,378,13,,0.1524531994428329,0.0,3216,2,2,232,320,0.0,0.125,535,0,12.48828125,3.328125,benign
svchost.exe,552,13,32.0,0.4405740099006359,0.0,3408,869,1961,3745469,4398657,1.75,0.8125,7011,0,36.08984375,8.9765625,benign
dllhost.exe,199,6,,0.1346185117382287,0.0,3536,33,43,2801664,815104,0.0,0.046875,219,0,11.02734375,3.35546875,benign
svchost.exe,524,14,,0.2844489629892081,0.0,3600,1896,763,8888803,13715689,0.4375,0.703125,855,0,23.30078125,13.2734375,benign
svchost.exe,176,26,,0.1399116944526968,0.0,3624,617,0,315080,0,0.078125,0.125,224,0,11.4609375,6.97265625,benign
svchost.exe,191,7,,0.1101077377270882,0.0,3700,1,1,5378,4096,0.0625,0.0625,56,0,9.01953125,2.19921875,benign
svchost.exe,198,7,,0.101428825528591,0.0,3828,0,0,0,0,0.0,0.03125,100,0,8.30859375,2.0078125,benign
TextInputHost.exe,543,8,32.0,0.4668491781499325,0.0,3840,3,0,24606,0,0.265625,0.59375,8749,0,38.2421875,8.546875,benign
svchost.exe,280,3,,0.1462062901131453,0.0,3948,1,0,328,0,0.09375,0.125,90,0,11.9765625,2.5,benign
svchost.exe,120,2,,0.0694312975879777,0.0,3988,1,0,3529,0,0.0,0.046875,43,0,5.6875,1.33203125,benign
svchost.exe,277,5,,0.2263193257915811,0.0,4052,0,0,0,0,0.078125,0.0625,89,0,18.5390625,3.79296875,benign
svchost.exe,285,4,,0.2517361400871801,0.0,4136,0,0,0,0,0.34375,0.34375,67,0,20.62109375,3.4609375,benign
msedge.exe,628,19,32.0,2.906529546212108,0.0,4144,26806,32699,16429406,47757282,21.03125,9.71875,149261,0,238.08984375,161.32421875,benign
Code.exe,324,16,32.0,0.5341822771844273,0.0,4236,605,1107,891748,357727,0.265625,0.3125,2046,0,43.7578125,13.50390625,benign
svchost.exe,165,3,,0.0962787018064059,0.0,4288,264,0,5392,0,0.0,0.09375,90,0,7.88671875,1.73046875,benign
ctfmon.exe,426,10,128.0,0.2382885948125855,0.0,4388,0,0,0,0,0.5,1.78125,17280,0,19.51953125,3.82421875,benign
svchost.exe,317,9,,0.1972306640273872,0.0,4628,11,6,4856,7434,0.03125,0.125,299,0,16.15625,4.203125,benign
msedge.exe,254,10,32.0,0.2945107787797735,0.0,4760,58,51,13640,7456,0.15625,0.1875,3529,0,24.125,8.89453125,benign
svchost.exe,220,5,,0.1474938210436916,0.0,4776,4,0,49244,0,0.03125,0.0625,158,0,12.08203125,2.796875,benign
svchost.exe,161,3,,0.1182621002872147,0.0,4800,0,0,0,0,0.171875,0.234375,1329,0,9.6875,1.97265625,benign
explorer.exe,2052,55,32.0,1.4968739225869645,0.0,4848,2716,7,2214974,1516,7.28125,26.15625,198161,0,122.6171875,56.25390625,benign
Code.exe,452,14,32.0,3.1702349553202924,0.0,4888,61231,37301,38701904,726229773,29.625,20.875,397028,0,259.69140625,215.375,benign
StartMenuExperienceHost.exe,616,7,32.0,0.7526333584004479,0.0,5064,91,0,195190,0,0.6875,0.890625,2232,0,61.65234375,19.25390625,benign
svchost.exe,236,6,32.0,0.2069586755026258,0.0,5088,0,0,0,0,0.109375,0.125,1755,0,16.953125,3.078125,benign
RuntimeBroker.exe,306,9,32.0,0.2625132508391602,0.0,5096,50,0,19790,0,0.3125,0.703125,3371,0,21.50390625,3.9375,benign
SearchFilterHost.exe,144,4,,0.0891734385230208,0.0,5112,0,0,0,0,0.015625,0.03125,53,0,7.3046875,1.46875,benign
RuntimeBroker.exe,342,8,32.0,0.3195937887600457,0.0,5184,598,8,227051,128,0.296875,0.390625,2171,0,26.1796875,7.35546875,benign
msedge.exe,198,11,32.0,0.237430240858888,0.0,5256,2069,3891,2450349,6127562,0.1875,0.609375,12417,0,19.44921875,8.890625,benign
RuntimeBroker.exe,321,1,32.0,0.3066707931238218,0.0,5368,35,1,155962,160,0.890625,1.4375,54,0,25.12109375,6.3359375,benign
msedge.exe,479,20,64.0,2.220370932892457,0.0,5420,3095,12424,1281320,2686128,15.953125,4.984375,37296,0,181.8828125,153.59765625,benign
SearchApp.exe,1160,38,32.0,1.9433133511712,0.0,5528,3722,618,18380172,5016088,2.171875,2.21875,8232,0,159.1875,104.50390625,benign
SearchIndexer.exe,738,17,,0.3548339871924053,0.0,5544,709,335,9646824,2570616,1.515625,1.171875,11700,0,29.06640625,23.24609375,benign
RuntimeBroker.exe,416,7,32.0,0.306336988808495,0.0,5808,316,2,88738,248,0.171875,0.28125,394,0,25.09375,6.38671875,benign
powershell.exe,588,10,32.0,0.8581155220437218,0.0,5960,138,61,471451,882,3.671875,2.609375,2469,0,70.29296875,56.43359375,benign
ShellExperienceHost.exe,591,18,32.0,0.5683256900092846,0.0,5964,102,0,415630,0,1.46875,1.96875,26511,0,46.5546875,10.74609375,benign
NisSrv.exe,202,9,,0.1470646440668429,0.0,6280,1,0,4164,0,0.1875,0.25,1775,0,12.046875,4.7578125,benign
SecurityHealthSystray.exe,162,1,32.0,0.110441542042415,0.0,6400,1,0,5244,0,0.0,0.0625,255,0,9.046875,1.66796875,benign
SecurityHealthService.exe,381,8,,0.1857859446447535,0.0,6432,1,1,11760,4096,0.125,0.328125,1201,0,15.21875,4.37109375,benign
Code.exe,336,24,32.0,1.2738926399486514,0.0,6440,2820,1518,55026358,6917036,3.234375,2.0,42033,0,104.3515625,80.84765625,benign
Code.exe,311,16,32768.0,1.0921600334185806,0.0,6464,72427,72658,1054217456,8244248,14.046875,106.203125,684480,0,89.46484375,115.109375,benign
OneDrive.exe,865,21,32.0,1.3771335460461591,0.0,6512,159,2309,4206385,558266,1.53125,2.6875,5234,0,112.80859375,50.30859375,benign
Code.exe,990,48,32.0,1.5434634677404355,0.0,6524,15492,11695,105302410,34776976,7.15625,9.296875,95084,0,126.43359375,103.5,benign
svchost.exe,203,4,,0.1362398469841018,0.0,6672,3,0,1536,0,0.03125,0.09375,85,0,11.16015625,2.4296875,benign
svchost.exe,247,7,,0.1098693060732834,0.0,6692,1,0,5581,0,0.015625,0.03125,248,0,9.0,3.80078125,benign
WMIADAP.exe,159,4,,0.106865067235342,0.0,6820,31,4151,4437792,3247740,0.171875,0.40625,17137,0,8.75390625,2.0,benign
msedge.exe,1915,69,32.0,2.4235623882649664,0.0,6924,91162,76662,118961774,97847897,19.53125,20.296875,247281,0,198.52734375,92.03515625,benign
msedge.exe,200,8,32.0,0.088839634207694,0.0,6956,53,41,8125,492,0.015625,0.15625,294,0,7.27734375,2.0625,benign
msedge.exe,526,18,32.0,0.5587884238570898,0.0,7128,40745,92988,18696103,66253256,7.78125,11.703125,95705,0,45.7734375,20.15625,benign
msedge.exe,332,20,32768.0,0.7541593209847991,0.0,7140,35682,31438,122054418,3777568,13.9375,16.28125,127639,0,61.77734375,26.30859375,benign
audiodg.exe,198,6,32.0,0.1586524224417595,0.0,7212,1,0,6450,0,1.515625,2.71875,8688,0,12.99609375,7.4921875,benign
Discord.exe,285,9,32.0,1.0091858178944864,0.0,7248,1524,2794,77632,188908,0.5,0.65625,6012,0,82.66796875,11.46484375,benign
msedge.exe,481,18,64.0,1.894625607464246,0.0,7292,6884,8961,7657730,13337408,10.328125,5.359375,60773,0,155.19921875,93.51953125,benign
UserOOBEBroker.exe,128,1,32.0,0.11411338951101,0.0,7324,1,0,5502,0,0.015625,0.046875,30,0,9.34765625,1.8515625,benign
Discord.exe,946,43,32.0,4.741547240225136,0.0,7596,10741,12827,150198789,31832381,19.453125,10.484375,136224,0,388.40625,310.25390625,benign
Discord.exe,1189,57,32.0,1.6598658011279726,0.0,7652,14737,12730,43130677,73512776,4.40625,6.359375,79671,0,135.96875,105.5390625,benign
Discord.exe,189,7,32.0,0.3918862661936818,0.0,7760,10,9,5950,108,0.015625,0.09375,71,0,32.1015625,10.19140625,benign
Discord.exe,316,17,32768.0,0.7990798445616362,0.0,7876,4929,4206,7384427,583576,1.8125,5.75,19251,0,65.45703125,19.2265625,benign
Discord.exe,323,14,32.0,0.6390445185278085,0.0,7912,6013,15332,3664176,12698082,1.640625,2.21875,17481,0,52.34765625,14.46484375,benign
Code.exe,308,24,32.0,1.1921105826935814,0.0,8272,124,55,1226167,142704,0.5625,0.265625,15736,0,97.65234375,79.1640625,benign
Code.exe,341,22,32.0,2.2895637988266304,0.0,8340,5245,3466,25113882,14742222,3.78125,1.953125,25045,0,187.55078125,161.64453125,benign
msedge.exe,232,14,64.0,0.5928841503511859,0.0,8608,279,312,1327184,57664,0.125,0.1875,1455,0,48.56640625,25.3984375,benign
SearchProtocolHost.exe,268,4,64.0,0.0944189349067279,0.0,8724,0,0,0,0,0.0,0.046875,428,0,7.734375,1.69140625,benign
Code.exe,384,30,32.0,1.5796573927880146,0.0,9096,2089,3011,2155538,10680667,2.09375,2.296875,46271,0,129.3984375,116.4609375,benign
msedge.exe,200,14,64.0,0.3482055872166299,0.0,9204,28,52,65120,8320,0.015625,0.046875,442,0,28.5234375,15.4453125,benign
svchost.exe,212,8,,0.1256534815551657,0.0,9296,1,0,5957,0,0.015625,0.203125,127,0,10.29296875,2.52734375,benign
msedge.exe,284,13,32.0,0.255598732878819,0.0,9344,2530,2702,24276,36840,0.71875,0.65625,5275,0,20.9375,8.75,benign
svchost.exe,450,6,32.0,0.2553603012250142,0.0,9348,123,40,13835323,450564,0.125,0.328125,3281,0,20.91796875,5.55859375,benign
python.exe,143,7,32.0,0.8293606645948545,0.0,9376,929,0,13620234,0,1.71875,9.9375,28809,0,67.9375,147.64453125,benign
svchost.exe,149,9,,0.1396732627988919,0.0,9492,1,0,5624,0,0.015625,0.0625,262,0,11.44140625,1.9765625,benign
conhost.exe,102,5,32.0,0.072435536425919,0.0,9588,2,2,0,113,0.0,0.03125,125,0,5.93359375,1.23046875,benign
conhost.exe,107,5,32.0,0.0735800083641824,0.0,9604,36,46,62,1192,0.03125,0.0625,866,0,6.02734375,1.25390625,benign
svchost.exe,217,4,,0.1361444743225799,0.0,9688,3,0,6752,0,0.046875,0.140625,88,0,11.15234375,2.609375,benign
powershell.exe,559,10,32.0,0.8435235048308638,0.0,10056,138,2,471451,120,3.59375,2.5625,7137,0,69.09765625,55.87109375,benign
SgrmBroker.exe,105,7,,0.0876951622694306,0.0,10188,3,0,83502,0,0.046875,0.109375,849,0,7.18359375,4.9453125,benign
System,3194,136,,0.001764394238156,0.0,4,253,1978,895792,81578309,0.0,1546.65625,2717849,0,0.14453125,0.1953125,benign
Registry,0,4,,0.8816248831088818,0.0,108,485,1980,28171776,59564032,0.0,2.6875,4065,0,72.21875,3.921875,benign
smss.exe,53,2,,0.0129229956362238,0.0,352,22,32,13220,7486,0.0,0.234375,853,0,1.05859375,1.05859375,benign
svchost.exe,218,1,,0.1167361377028636,0.0,376,0,0,0,0,0.09375,0.25,32,0,9.5625,2.25390625,benign
csrss.exe,471,10,,0.0619922299892658,0.0,456,214,0,165294,0,0.109375,0.734375,8403,0,5.078125,1.72265625,benign
wininit.exe,165,1,,0.0809237033013723,0.0,532,2,0,9732,0,0.015625,0.125,231,0,6.62890625,1.359375,benign
csrss.exe,597,12,,0.0667608630653631,0.0,540,85778,0,2352802,0,0.96875,71.21875,1362926,0,5.46875,1.87890625,benign
winlogon.exe,286,5,,0.1302313693082191,0.0,604,4,1,9988,160,0.09375,0.625,668,0,10.66796875,3.6875,benign
services.exe,616,6,,0.1062928312662103,0.0,672,27,1,124532,160,0.796875,2.234375,1352,0,8.70703125,4.328125,benign
lsass.exe,1413,8,,0.2315171358445273,0.0,696,1051,685,88042,117773,1.53125,1.984375,15004,0,18.96484375,7.52734375,benign
dwm.exe,969,23,,1.0233009717997346,0.0,720,2,0,109516,0,291.890625,252.296875,1126187,0,83.82421875,43.3515625,benign
svchost.exe,1410,15,,0.3926492474858574,0.0,820,136,4,264704,77824,2.5,7.875,21727,0,32.1640625,11.63671875,benign
fontdrvhost.exe,50,5,,0.0392458502162813,0.0,840,0,0,0,0,0.0,0.09375,1710,0,3.21484375,1.45703125,benign
fontdrvhost.exe,50,5,,0.050595196937393,0.0,848,0,0,0,0,0.03125,0.140625,4702,0,4.14453125,1.6875,benign
svchost.exe,1225,10,,0.1865012396061681,0.0,944,18,0,9216,0,7.078125,8.453125,12359,0,15.27734375,8.15625,benign
svchost.exe,269,5,,0.0896026154998695,0.0,992,0,0,0,0,0.265625,0.234375,486,0,7.33984375,2.24609375,benign
svchost.exe,171,5,,0.1233645376786389,0.0,1056,0,0,0,0,0.40625,0.75,2598,0,10.10546875,2.30078125,benign
svchost.exe,228,2,,0.1288961520469119,0.0,1076,0,0,0,0,0.046875,0.203125,57,0,10.55859375,2.34375,benign
svchost.exe,402,6,,0.1953232107969482,0.0,1164,1363,837,73169488,16313944,0.59375,1.0625,2595,0,16.0,15.74609375,benign
svchost.exe,398,7,,0.1799682122919147,0.0,1172,1,242,6,4275086,0.46875,1.59375,2197,0,14.7421875,5.9609375,benign
svchost.exe,383,12,,0.1570787735266473,0.0,1232,0,0,0,0,0.4375,0.640625,4518,0,12.8671875,3.28125,benign
svchost.exe,169,2,,0.0721494184413532,0.0,1276,0,0,0,0,0.21875,0.484375,6819,0,5.91015625,1.48828125,benign
svchost.exe,244,2,,0.1577940684880619,0.0,1300,192,0,4601344,0,0.0625,0.1875,118,0,12.92578125,3.15234375,benign
svchost.exe,145,1,,0.0985676456829326,0.0,1428,0,0,0,0,0.1875,0.21875,103,0,8.07421875,4.1484375,benign
svchost.exe,261,8,,0.1287530930546289,0.0,1448,0,0,0,0,0.53125,0.984375,1352,0,10.546875,2.77734375,benign
svchost.exe,179,7,,0.0903179104612841,0.0,1492,34,0,714,0,0.0625,0.109375,218,0,7.3984375,2.03515625,benign
svchost.exe,237,3,,0.0709095738415678,0.0,1500,0,0,0,0,0.03125,0.09375,1093,0,5.80859375,1.328125,benign
svchost.exe,242,5,,1.2627340385505834,0.0,1508,66,251,51475991,12093550,22.984375,27.609375,56953,0,103.4375,98.703125,benign
svchost.exe,273,4,,0.143106678613682,0.0,1540,0,0,0,0,0.078125,0.078125,78,0,11.72265625,2.19140625,benign
msedgewebview2.exe,191,12,32.0,0.2236965775997276,0.0,1568,333,600,13677205,21679078,0.296875,0.1875,1890,0,18.32421875,9.6875,benign
svchost.exe,232,5,,0.088696575215411,0.0,1612,0,0,0,0,0.140625,0.34375,1423,0,7.265625,2.08203125,benign
svchost.exe,127,1,,0.0824973522164845,0.0,1620,0,0,0,0,0.0,0.078125,49,0,6.7578125,1.40625,benign
MemCompression,0,82,,2.8947033361833863,0.0,1632,0,0,0,0,0.0,15.421875,94243,0,237.12109375,0.8046875,benign
svchost.exe,182,4,,0.0994736859673911,0.0,1764,288,0,5792,0,0.09375,0.078125,336,0,8.1484375,1.921875,benign
svchost.exe,393,5,,0.1369074556147555,0.0,1812,2,2,232,320,0.375,1.84375,494,0,11.21484375,4.1484375,benign
svchost.exe,187,2,,0.0901271651382402,0.0,1848,0,0,0,0,0.046875,0.25,190,0,7.3828125,1.73828125,benign
svchost.exe,175,6,,0.1025256111360934,0.0,1876,0,0,0,0,0.59375,0.484375,2383,0,8.3984375,2.16015625,benign
Discord.exe,196,7,32.0,0.3911709712322672,0.0,1904,11,10,6047,120,0.03125,0.046875,129,0,32.04296875,10.34375,benign
svchost.exe,651,6,,0.1207894758175463,0.0,2012,0,0,0,0,0.8125,0.875,1188,0,9.89453125,3.2265625,benign
RuntimeBroker.exe,328,3,32.0,0.3415771872408545,0.0,2020,12,2,147178,248,1.015625,1.625,159,0,27.98046875,6.44140625,benign
svchost.exe,308,9,,0.1010473348825032,0.0,2076,2,0,824,0,0.46875,1.21875,705,0,8.27734375,3.09375,benign
svchost.exe,214,3,,0.1226969290479853,0.0,2100,0,0,0,0,0.03125,0.0625,268,0,10.05078125,2.3125,benign
svchost.exe,364,5,,0.1102507967193711,0.0,2108,0,0,0,0,0.0625,0.3125,401,0,9.03125,2.26171875,benign
svchost.exe,304,9,32.0,0.2126810351939427,0.0,2132,150,2087,551151,4383867,0.5,0.625,589,0,17.421875,5.08984375,benign
svchost.exe,220,3,,0.1589385404263253,0.0,2200,4,0,512,0,0.078125,0.0625,521,0,13.01953125,2.2578125,benign
UserOOBEBroker.exe,147,4,32.0,0.117832923310366,0.0,2248,1,0,5408,0,0.03125,0.09375,53,0,9.65234375,1.9375,benign
svchost.exe,206,6,,0.2394807530816099,0.0,2256,103674,711,53049484,244496,1212.625,4.15625,4432,0,19.6171875,11.10546875,benign
svchost.exe,175,2,,0.0892688111845427,0.0,2348,0,0,0,0,0.234375,0.6875,53,0,7.3125,1.87890625,benign
conhost.exe,109,5,32.0,0.07248322275668,0.0,2384,2,2,0,113,0.015625,0.03125,229,0,5.9375,1.2890625,benign
spoolsv.exe,438,7,,0.1526439447658768,0.0,2388,2,2,232,320,0.015625,0.265625,581,0,12.50390625,5.10546875,benign
svchost.exe,413,11,,0.2077216567948014,0.0,2444,1,2,116,32928,0.796875,3.296875,1293,0,17.015625,8.796875,benign
svchost.exe,180,3,,0.0920346183686792,0.0,2520,146,105,8884,10484,0.078125,0.125,43,0,7.5390625,1.84375,benign
svchost.exe,584,15,32.0,0.4494913537529381,0.0,2712,1231,5503,5353192,12260724,2.484375,1.453125,3425,0,36.8203125,9.4765625,benign
