time,application,input
2025-11-13 13:36:40.093,Windows PowerShell,[enter]
2025-11-13 13:36:54.318,Untitled - Notepad,t
2025-11-13 13:36:54.398,*t - Notepad,e
2025-11-13 13:36:54.564,*te - Notepad,s
2025-11-13 13:36:55.065,*tes - Notepad,d
2025-11-13 13:36:55.177,*tesd - Notepad,a
2025-11-13 13:36:55.259,*tesda - Notepad,t
2025-11-13 13:36:55.362,*tesdat - Notepad,a
2025-11-13 13:36:56.458,*tesdata - Notepad,[shift]
2025-11-13 13:36:56.637,*tesdata - Notepad,@
2025-11-13 13:36:57.370,*tesdata@ - Notepad,h
2025-11-13 13:36:57.534,*tesdata@h - Notepad,o
2025-11-13 13:36:57.598,*tesdata@ho - Notepad,t
2025-11-13 13:36:57.715,*tesdata@hot - Notepad,m
2025-11-13 13:36:57.829,*tesdata@hotm - Notepad,a
2025-11-13 13:36:57.886,*tesdata@hotma - Notepad,i
2025-11-13 13:36:58.020,*tesdata@hotmai - Notepad,l
2025-11-13 13:36:58.192,*tesdata@hotmail - Notepad,.
2025-11-13 13:36:58.321,*tesdata@hotmail. - Notepad,c
2025-11-13 13:36:58.385,*tesdata@hotmail. - Notepad,o
2025-11-13 13:36:58.528,*tesdata@hotmail.o - Notepad,m
2025-11-13 13:36:58.689,*tesdata@hotmail.om - Notepad,[enter]
2025-11-13 13:37:00.059,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.558,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.592,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.625,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.658,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.693,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.726,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.758,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.791,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.825,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.858,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.890,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.925,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.958,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:00.993,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.025,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.058,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.092,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.129,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.159,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:01.192,*tesdata@hotmail.om - Notepad,L
2025-11-13 13:37:01.471,*tesdata@hotmail.om - Notepad,m
2025-11-13 13:37:01.591,*tesdata@hotmail.om - Notepad,a
2025-11-13 13:37:01.620,*tesdata@hotmail.om - Notepad,s
2025-11-13 13:37:01.653,*tesdata@hotmail.om - Notepad,o
2025-11-13 13:37:02.410,*tesdata@hotmail.om - Notepad,[backspace]
2025-11-13 13:37:02.959,*tesdata@hotmail.om - Notepad,[shift]
2025-11-13 13:37:03.315,*tesdata@hotmail.om - Notepad,@
2025-11-13 13:37:03.777,*tesdata@hotmail.om - Notepad,1
2025-11-13 13:37:04.078,*tesdata@hotmail.om - Notepad,2
2025-11-13 13:37:04.301,*tesdata@hotmail.om - Notepad,3
2025-11-13 13:37:04.450,*tesdata@hotmail.om - Notepad,4
2025-11-13 13:37:04.654,*tesdata@hotmail.om - Notepad,5
2025-11-13 13:37:07.284,Untitled - Notepad,w
2025-11-13 13:37:07.389,*w - Notepad,e
2025-11-13 13:37:07.432,*we - Notepad,[space]
2025-11-13 13:37:07.584,*we - Notepad,h
2025-11-13 13:37:07.683,*we h - Notepad,a
2025-11-13 13:37:07.773,*we ha - Notepad,v
2025-11-13 13:37:07.852,*we hav - Notepad,e
2025-11-13 13:37:07.991,*we have - Notepad,[space]
2025-11-13 13:37:08.114,*we have - Notepad,o
2025-11-13 13:37:08.203,*we have o - Notepad,f
2025-11-13 13:37:08.440,*we have of - Notepad,t
2025-11-13 13:37:08.600,*we have oft - Notepad,e
2025-11-13 13:37:08.662,*we have ofte - Notepad,n
2025-11-13 13:37:08.778,*we have often - Notepad,[space]
2025-11-13 13:37:08.886,*we have often - Notepad,k
2025-11-13 13:37:09.027,*we have often k - Notepad,i
2025-11-13 13:37:09.152,*we have often ki - Notepad,n
2025-11-13 13:37:09.215,*we have often kin - Notepad,d
2025-11-13 13:37:09.292,*we have often kind - Notepad,[space]
2025-11-13 13:37:09.389,*we have often kind - Notepad,o
2025-11-13 13:37:09.469,*we have often kind o - Notepad,f
2025-11-13 13:37:09.596,*we have often kind of - Notepad,[space]
2025-11-13 13:37:09.814,*we have often kind of - Notepad,u
2025-11-13 13:37:09.957,*we have often kind of u - Notepad,n
2025-11-13 13:37:10.028,*we have often kind of un - Notepad,d
2025-11-13 13:37:10.113,*we have often kind of und - Notepad,e
2025-11-13 13:37:10.249,*we have often kind of unde - Notepad,r
2025-11-13 13:37:10.417,*we have often kind of under - Notepad,s
2025-11-13 13:37:10.484,*we have often kind of unders - Notepad,t
2025-11-13 13:37:10.676,*we have often kind of underst - Notepad,o
2025-11-13 13:37:10.783,*we have often kind of understo - Notepad,o
2025-11-13 13:37:10.883,*we have often kind of understoo - Notepad,d
2025-11-13 13:37:10.979,*we have often kind of understood - Notepad,[space]
2025-11-13 13:37:11.102,*we have often kind of understood - Notepad,w
2025-11-13 13:37:11.210,*we have often kind of understood w - Notepad,h
2025-11-13 13:37:11.255,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:11.423,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:11.578,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:11.691,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:12.357,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:12.444,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:12.583,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:12.658,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:12.765,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:12.877,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:12.960,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:13.046,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:13.183,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:13.341,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:13.640,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:13.802,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:13.891,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:13.984,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:14.086,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:14.391,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:14.525,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:14.721,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:14.853,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:14.899,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:15.012,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:15.109,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:15.191,*we have often kind of understood wh - Notepad,f
2025-11-13 13:37:15.307,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:15.326,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:15.483,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:15.615,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:16.056,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:16.223,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:16.279,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:16.381,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:16.502,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:16.667,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:16.945,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:17.094,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:17.270,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:17.451,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:17.596,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:17.672,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:17.798,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:18.032,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:18.126,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:18.800,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:19.005,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:19.027,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:19.483,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:19.735,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:19.849,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:19.972,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:20.122,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:20.179,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:20.259,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:20.453,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:20.608,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:20.704,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:20.941,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:21.239,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:21.319,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:21.418,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:21.551,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:21.728,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:21.820,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:21.909,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:22.018,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:22.094,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:22.237,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:22.366,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:22.420,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:22.657,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:22.689,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:22.833,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:22.903,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:23.002,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:23.071,*we have often kind of understood wh - Notepad,k
2025-11-13 13:37:23.198,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:23.256,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:23.365,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:23.461,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:23.544,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:23.733,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:23.886,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:23.983,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:24.067,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:24.170,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:24.272,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:24.357,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:24.520,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:24.701,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:24.736,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:24.883,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:25.126,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:25.291,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:25.446,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:25.598,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:25.974,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:26.118,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:26.230,*we have often kind of understood wh - Notepad,f
2025-11-13 13:37:26.325,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:26.444,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:26.531,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:26.639,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:26.699,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:26.829,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:26.929,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:27.027,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:27.228,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:27.352,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:27.436,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:27.701,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:27.772,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:27.920,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:28.012,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:28.085,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:28.198,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:28.263,*we have often kind of understood wh - Notepad,v
2025-11-13 13:37:28.398,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:28.538,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:28.645,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:28.731,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:28.880,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:29.226,*we have often kind of understood wh - Notepad,[backspace]
2025-11-13 13:37:29.466,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:29.599,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:29.715,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:29.841,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:29.931,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:30.045,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:31.152,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:31.343,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:31.411,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:31.575,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:31.713,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:31.789,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:31.889,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:31.997,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:32.038,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:32.182,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:32.241,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:32.338,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:32.435,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:32.527,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:32.641,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:32.734,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:32.789,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:32.895,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:32.992,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:33.108,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:33.191,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:33.307,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:33.376,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:33.564,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:33.657,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:33.804,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:33.888,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:33.992,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:34.088,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:34.186,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:34.366,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:34.539,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:34.721,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:35.039,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:35.087,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:35.263,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:35.369,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:35.468,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:35.544,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:35.614,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:35.734,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:35.792,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:35.935,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:36.089,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:36.186,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:36.289,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:36.505,*we have often kind of understood wh - Notepad,c
2025-11-13 13:37:36.604,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:36.759,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:36.951,*we have often kind of understood wh - Notepad,i
2025-11-13 13:37:37.029,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:37.103,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:37.190,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:37.301,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:37.338,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:37.507,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:37.562,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:37.743,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:37.938,*we have often kind of understood wh - Notepad,g
2025-11-13 13:37:38.081,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:38.883,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:38.995,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:39.078,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:39.082,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:39.170,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:39.355,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:39.558,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:39.570,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:39.736,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:40.194,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:40.331,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:40.402,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:40.500,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:40.578,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:40.663,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:40.733,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:40.866,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:40.932,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:41.055,*we have often kind of understood wh - Notepad,v
2025-11-13 13:37:41.107,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:41.220,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:41.330,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:41.398,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:41.531,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:41.786,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:41.950,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:42.089,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:42.185,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:42.450,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:42.545,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:42.658,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:42.785,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:42.861,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:42.923,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:43.072,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:43.161,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:43.270,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:43.345,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:43.450,*we have often kind of understood wh - Notepad,w
2025-11-13 13:37:43.534,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:43.645,*we have often kind of understood wh - Notepad,p
2025-11-13 13:37:43.731,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:43.800,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:43.920,*we have often kind of understood wh - Notepad,p
2025-11-13 13:37:44.038,*we have often kind of understood wh - Notepad,l
2025-11-13 13:37:44.120,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:44.222,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:44.387,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:44.514,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:44.574,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:44.656,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:44.780,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:44.930,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:45.066,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:45.200,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:45.254,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:45.393,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:45.476,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:45.558,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:45.628,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:45.701,*we have often kind of understood wh - Notepad,d
2025-11-13 13:37:45.796,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:45.978,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:46.265,*we have often kind of understood wh - Notepad,[backspace]
2025-11-13 13:37:46.399,*we have often kind of understood wh - Notepad,t
2025-11-13 13:37:46.497,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:46.631,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:46.693,*we have often kind of understood wh - Notepad,y
2025-11-13 13:37:46.829,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:46.975,*we have often kind of understood wh - Notepad,h
2025-11-13 13:37:47.061,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:47.129,*we have often kind of understood wh - Notepad,v
2025-11-13 13:37:47.247,*we have often kind of understood wh - Notepad,e
2025-11-13 13:37:47.362,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:48.263,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:48.297,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:48.484,*we have often kind of understood wh - Notepad,m
2025-11-13 13:37:48.617,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:48.794,*we have often kind of understood wh - Notepad,u
2025-11-13 13:37:48.857,*we have often kind of understood wh - Notepad,r
2025-11-13 13:37:49.033,*we have often kind of understood wh - Notepad,s
2025-11-13 13:37:49.133,*we have often kind of understood wh - Notepad,[space]
2025-11-13 13:37:49.350,*we have often kind of understood wh - Notepad,a
2025-11-13 13:37:49.464,*we have often kind of understood wh - Notepad,n
2025-11-13 13:37:49.779,*we have often kind of understood wh - Notepad,[backspace]
2025-11-13 13:37:49.937,*we have often kind of understood wh - Notepad,b
2025-11-13 13:37:50.007,*we have often kind of understood wh - Notepad,o
2025-11-13 13:37:50.196,*we have often kind of understood wh - Notepad,u
