pid,name,cpu_percent,memory_percent,num_handles,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms
976,msedgewebview2.exe,0.0,0.1193874441706902,151,7,32.0,19,10,6431,120,0.03125,0.046875,151,0,8.40234375,2.09765625
1016,svchost.exe,0.0,0.5805637684915943,1278,20,0.0,111,11,1316268,204800,5.421875,7.890625,12506,0,40.859375,12.25
1032,svchost.exe,0.0,0.18588031172833167,321,7,0.0,0,0,0,0,0.6875,0.796875,2182,0,13.08203125,2.76953125
1096,chrome.exe,0.0,0.7338081819529033,365,16,32.0,38555,133793,33883525,124165987,20.03125,14.625,164302,0,51.64453125,22.26171875
1132,dwm.exe,3.0,1.902983687046157,1380,30,0.0,117161,0,3244864,0,172.75,82.984375,1125660,0,133.9296875,107.65234375
1156,svchost.exe,0.0,0.14231027747728947,202,4,0.0,9,0,18432,0,0.15625,0.25,479,0,10.015625,2.0546875
1164,svchost.exe,0.0,0.3613815197560966,361,8,0.0,1902,356,52483390,5776916,69.46875,60.5625,495894,0,25.43359375,5.28125
1232,svchost.exe,0.0,0.09463300432869677,117,3,0.0,0,0,0,0,0.015625,0.03125,146,0,6.66015625,1.25
1272,MemCompression,0.0,3.9072052625940987,0,26,0.0,0,0,0,0,0.0,25.5625,225535,0,274.984375,0.83984375
1352,svchost.exe,0.0,0.1791089178702079,218,3,0.0,0,0,0,0,0.21875,0.125,84,0,12.60546875,2.5859375
1364,svchost.exe,0.0,0.2101907257435629,262,3,0.0,0,0,0,0,0.140625,0.25,63,0,14.79296875,2.05859375
1416,Code.exe,0.0,0.7752690935268249,371,16,32768.0,12590,12091,96298401,1422160,0.96875,1.375,46117,0,54.5625,15.63671875
1428,svchost.exe,0.0,0.13281922543024713,175,4,0.0,0,0,0,0,0.078125,0.09375,424,0,9.34765625,1.734375
1472,svchost.exe,0.0,0.10856431464336122,141,4,0.0,0,0,0,0,0.359375,0.21875,122,0,7.640625,4.59375
1520,svchost.exe,0.0,0.11100645669055341,184,3,0.0,0,0,0,0,0.1875,0.140625,8650,0,7.8125,1.73046875
1532,svchost.exe,0.0,0.2746854770807744,1012,9,0.0,1,1,116,160,1.59375,2.09375,1003,0,19.33203125,4.92578125
1580,chrome.exe,0.0,0.34961483534689797,401,9,32.0,737,752,95056,246688,0.421875,0.265625,11814,0,24.60546875,10.3203125
1600,svchost.exe,0.0,0.151246297240879,181,3,0.0,148,0,3056,0,0.09375,0.09375,532,0,10.64453125,1.8828125
1624,svchost.exe,0.0,0.18449273101969976,258,11,0.0,0,0,0,0,1.703125,2.28125,3827,0,12.984375,2.578125
1680,svchost.exe,0.0,0.2343901333021035,434,8,0.0,735,2189,29266048,9283072,0.90625,1.96875,4811,0,16.49609375,12.921875
1756,svchost.exe,0.0,0.27290937377372554,223,6,0.0,2,0,1024,0,0.15625,0.421875,337,0,19.20703125,2.73046875
1776,svchost.exe,0.0,1.5020838687082234,247,5,0.0,3017,16722,190091009,48904761,197.21875,90.078125,206955,0,105.71484375,92.078125
1804,svchost.exe,0.0,0.13775901275297678,175,5,0.0,35,0,754,0,0.171875,0.125,508,0,9.6953125,1.890625
1812,svchost.exe,0.0,0.1062331790528596,248,4,0.0,0,0,0,0,0.203125,0.21875,5166,0,7.4765625,1.3515625
1900,svchost.exe,0.0,0.15990480086274217,318,11,0.0,2,0,824,0,1.578125,2.03125,3833,0,11.25390625,3.2421875
1908,svchost.exe,0.0,0.12382770243831231,126,4,0.0,0,0,0,0,0.078125,0.109375,72,0,8.71484375,1.46875
1968,chrome.exe,0.0,0.11450316007630583,179,7,32.0,96,95,8813,1140,0.046875,0.015625,355,0,8.05859375,2.15234375
2004,powershell.exe,0.0,0.8411514255726684,504,9,32.0,110,2,323739,120,1.015625,2.515625,66632,0,59.19921875,51.7421875
2072,svchost.exe,0.0,0.22806276527074199,339,6,0.0,1,109,6,6407164,1.453125,1.84375,2830,0,16.05078125,5.5625
2104,svchost.exe,0.0,0.14208826456390836,181,8,0.0,0,0,0,0,1.0,0.5,3025,0,10.0,1.98828125
2112,svchost.exe,0.0,0.15640809747698975,195,3,0.0,0,0,0,0,0.140625,0.15625,166,0,11.0078125,1.86328125
2160,conhost.exe,0.0,0.1259923283437781,139,2,32.0,197,0,898,0,0.015625,0.03125,151,0,8.8671875,1.3671875
2224,Code.exe,0.0,1.7496282671281573,1064,58,32.0,12941,8706,52746198,18934699,4.59375,4.265625,87659,0,123.13671875,97.34765625
2320,msedge.exe,0.0,0.6007114403809297,332,19,32.0,1290,2385,4261167,2061538,0.53125,0.265625,3199,0,42.27734375,14.43359375
2404,svchost.exe,0.0,0.2523731792859732,379,11,0.0,0,0,0,0,0.4375,0.328125,1661,0,17.76171875,3.23046875
2476,svchost.exe,0.0,0.13165365763499634,164,4,0.0,0,0,0,0,0.0625,0.09375,291,0,9.265625,1.546875
2504,svchost.exe,0.0,0.1379810256663579,235,7,0.0,0,0,0,0,0.453125,0.546875,669,0,9.7109375,2.1953125
2536,pet.exe,0.0,0.09491052047042317,62,1,32.0,16,254,14513,38877,0.046875,0.109375,76,0,6.6796875,1.38671875
2544,Code.exe,0.0,1.53549681217208,348,24,32.0,261,1213,2025991,5170432,1.1875,0.6875,13644,0,108.06640625,91.87109375
2572,svchost.exe,0.0,0.17022840133496367,206,4,0.0,0,0,0,0,0.21875,0.140625,84,0,11.98046875,2.11328125
2640,svchost.exe,0.0,0.13642693527269012,190,5,0.0,0,0,0,0,0.375,0.359375,144,0,9.6015625,1.89453125
2696,svchost.exe,0.0,0.34295444794546476,346,10,0.0,283956,49662,107046921,15523016,13.390625,7.15625,9719,0,24.13671875,14.2109375
2740,svchost.exe,0.0,0.1693403496814392,440,3,0.0,0,0,0,0,0.109375,0.234375,143,0,11.91796875,2.15625
2812,svchost.exe,0.0,0.25154063086079403,234,4,0.0,7,0,1573376,0,0.125,0.28125,1328,0,17.703125,2.5625
2848,svchost.exe,0.0,0.15801769109900277,335,10,0.0,1,0,5199,0,0.125,0.09375,113,0,11.12109375,2.64453125
2924,powershell.exe,0.0,0.776878687148838,496,9,32.0,113,49,297746,1078,2.765625,8.296875,235137,0,54.67578125,53.58203125
2932,spoolsv.exe,0.0,0.24748889519158884,431,7,0.0,2,2,232,320,0.109375,0.234375,1045,0,17.41796875,5.26953125
2976,svchost.exe,0.0,0.2675255606242337,450,15,0.0,1,2,116,32928,1.015625,1.765625,1327,0,18.828125,10.41015625
2996,svchost.exe,0.0,0.13787001920966732,180,6,0.0,215,146,13440,17004,0.125,0.0625,105,0,9.703125,1.8203125
3076,Notepad.exe,10.1,2.206031313811368,1629,26,32.0,6619,9151,509105,94878,30.015625,29.9375,128328,0,155.2578125,77.97265625
3084,svchost.exe,0.0,0.20258678346025993,395,6,0.0,1,1,116,160,0.1875,0.109375,1074,0,14.2578125,2.80859375
3096,svchost.exe,0.0,0.7978034042350073,830,12,0.0,374,1928,13674155,6917065,7.828125,6.53125,31328,0,56.1484375,25.21875
3104,svchost.exe,0.0,0.4533503691242201,403,20,0.0,1335,4389,50660854,21519646,6.171875,9.109375,22075,0,31.90625,25.0859375
3196,svchost.exe,0.0,0.16206942676820796,213,5,0.0,285,191,19968,39580,0.140625,0.1875,2006,0,11.40625,2.1953125
3204,svchost.exe,0.0,0.09885124968293782,133,3,0.0,44,0,22528,0,0.03125,0.03125,519,0,6.95703125,1.26171875
3216,svchost.exe,0.0,0.2523731792859732,367,11,0.0,1765,66,14183940,1683136,2.21875,1.78125,510,0,17.76171875,6.0390625
3224,svchost.exe,0.0,0.13281922543024713,131,1,0.0,0,0,0,0,0.015625,0.078125,175,0,9.34765625,1.609375
3232,svchost.exe,0.0,0.3424549188903573,402,7,0.0,738,4564,3025376,9499720,0.25,0.453125,1783,0,24.1015625,4.31640625
3288,MsMpEng.exe,2.5,3.8479278147213436,1035,30,0.0,833675,3384,62090368215,355687600,1115.90625,1918.484375,3760164,0,270.8125,320.6484375
3300,Taskmgr.exe,9.8,1.6600460565788808,1041,27,32.0,300,2,1006814,16110,3.234375,4.84375,33133,0,116.83203125,45.37890625
3376,backgroundTaskHost.exe,0.0,1.0028323297424595,810,10,32.0,334,14,2418315,16899,1.046875,1.328125,5324,0,70.578125,24.07421875
3588,MpDefenderCoreService.exe,0.0,0.3334633958984224,491,9,0.0,683,27,5115419,41499,0.6875,1.21875,534,0,23.46875,10.265625
3700,msedge.exe,0.0,1.5897234662654154,436,19,64.0,1591,2132,2266120,3426087,3.296875,0.5625,8256,0,111.8828125,66.53515625
3712,msedge.exe,0.0,0.43497880054193355,330,20,32768.0,83,49,35081,75624,0.0,0.109375,346,0,30.61328125,12.140625
3868,svchost.exe,0.0,0.2804023096003379,315,7,0.0,163,222,641772,493976,2.328125,4.296875,2194,0,19.734375,3.6484375
3936,svchost.exe,0.0,0.5567528835314706,547,4,32.0,116,1365,576336,2935548,0.890625,0.90625,230,0,39.18359375,8.0078125
3980,svchost.exe,0.0,0.10157090787185637,106,2,32.0,0,0,0,0,0.078125,0.046875,72,0,7.1484375,1.21484375
4168,msedgewebview2.exe,0.0,0.5772890780192229,385,19,32768.0,1284,737,596440,309008,0.15625,0.3125,12521,0,40.62890625,15.96484375
4328,taskhostw.exe,0.0,0.29938441369442254,331,9,32.0,29,704,1777664,14766080,0.75,0.859375,1998,0,21.0703125,5.99609375
4452,msedgewebview2.exe,0.0,0.272187831805237,175,10,32.0,372,647,8419202,11150501,0.171875,0.09375,1664,0,19.15625,9.44921875
4548,svchost.exe,0.0,0.3203646340089371,994,11,0.0,9,6,58888,373260,1.671875,3.0625,3634,0,22.546875,6.078125
4632,msedgewebview2.exe,0.0,1.8205058897250759,354,16,64.0,3329,4456,16320684,9108955,7.171875,1.609375,21102,0,128.125,83.16796875
4672,AggregatorHost.exe,0.0,0.19165264747624045,184,4,0.0,58,42,10728728,6516,0.4375,0.46875,405,0,13.48828125,3.3828125
4680,Code.exe,0.0,2.7303148087608515,375,22,32.0,12827,8973,27887727,35488433,4.65625,1.78125,55204,0,192.15625,180.34375
4768,svchost.exe,0.0,0.3435649834572628,324,6,0.0,2,0,20324,0,0.328125,0.34375,452,0,24.1796875,3.56640625
4828,OpenConsole.exe,0.0,0.16284647196504184,167,5,32.0,52,27,363,538,0.046875,0.015625,2271,0,11.4609375,2.35546875
4856,svchost.exe,0.0,0.40450752818037666,471,6,32.0,70,1263,242034,2605227,0.890625,0.6875,412,0,28.46875,6.5859375
4864,chrome.exe,0.0,0.3092084851115365,265,10,32.0,1231,1314,105176,221984,0.421875,0.5625,13731,0,21.76171875,7.9453125
4880,sihost.exe,0.0,0.6772503922690664,732,13,32.0,226,0,149272,0,4.28125,7.734375,18546,0,47.6640625,7.5859375
4948,svchost.exe,0.0,0.36909646849609007,294,10,0.0,15,0,22258,0,7.21875,5.265625,6439,0,25.9765625,4.48046875
5024,svchost.exe,0.0,0.2113007903104684,184,6,0.0,522,0,252841,0,0.078125,0.0,188,0,14.87109375,3.5390625
5052,RuntimeBroker.exe,0.0,0.619416028333288,463,4,32.0,15,2,92459,248,0.828125,1.03125,740,0,43.59375,9.18359375
5092,svchost.exe,0.0,0.2549263277898559,204,3,0.0,13,0,236419,0,0.265625,0.375,131,0,17.94140625,2.85546875
5172,msedgewebview2.exe,0.0,0.5330530050280374,325,17,32.0,2000,3682,4309388,1979479,0.796875,0.734375,5071,0,37.515625,12.15625
5208,svchost.exe,0.0,0.31603538219800553,422,9,0.0,28,6,11803,15858,0.265625,0.5,372,0,22.2421875,4.95703125
5324,conhost.exe,0.0,0.1122275277141495,111,5,32.0,3,2,3,158,0.015625,0.0,185,0,7.8984375,1.29296875
5384,explorer.exe,2.3,3.880175190389949,5122,93,32.0,17504,804,4948624,317462,66.703125,57.484375,1223063,0,273.08203125,165.640625
5412,svchost.exe,0.0,0.14242128393398001,227,6,0.0,0,0,0,0,0.078125,0.0625,159,0,10.0234375,2.234375
5448,SearchIndexer.exe,0.0,0.4438038138488325,740,17,0.0,198575,7586,698365854,15874756,6.109375,4.953125,33046,0,31.234375,15.4140625
5588,svchost.exe,0.0,0.1358163997608921,135,2,0.0,0,0,0,0,0.109375,0.171875,93,0,9.55859375,1.61328125
5684,Code.exe,0.0,0.6812466247099263,347,15,32.0,481,1011,1132837,493192,0.359375,0.1875,4068,0,47.9453125,13.44140625
5700,ShellHost.exe,0.0,0.5448196894372361,404,7,32.0,1,0,512,0,0.203125,0.390625,3142,0,38.34375,6.48828125
5712,svchost.exe,0.0,0.17477966605927633,186,3,0.0,427,1,18284,28672,0.140625,0.265625,45,0,12.30078125,2.21875
5832,ApplicationFrameHost.exe,0.0,0.4707228795962917,289,2,32.0,2,0,18950,0,0.140625,0.34375,52,0,33.12890625,5.10546875
5880,CrossDeviceResume.exe,0.0,0.627630506128389,440,5,32.0,13,0,41226,0,0.359375,0.65625,2046,0,44.171875,8.26171875
6112,svchost.exe,0.0,0.20258678346025993,252,2,32.0,1,0,6676,0,0.109375,0.109375,79,0,14.2578125,2.7109375
6164,msedge.exe,0.0,0.13825854180808428,159,9,32.0,24,15,7161,180,0.015625,0.0,112,0,9.73046875,2.17578125
6296,svchost.exe,0.0,0.44663447849444166,481,14,0.0,82,27,1154438,1920,1.09375,0.65625,6533,0,31.43359375,9.25
6356,svchost.exe,0.0,0.39990076022771864,328,5,32.0,0,0,0,0,0.375,0.515625,4906,0,28.14453125,4.05078125
6416,RuntimeBroker.exe,0.0,0.18138455023236427,155,3,32.0,1,0,6300,0,0.109375,0.171875,336,0,12.765625,2.28515625
6444,msedgewebview2.exe,0.0,1.5553114646913437,1289,50,32.0,7438,3165,25349712,12094129,1.75,2.59375,18305,0,109.4609375,41.30859375
6528,python.exe,52.5,0.9897335678529742,162,7,32.0,929,0,13622829,0,0.40625,0.609375,1624,0,69.65625,147.421875
6636,msedge.exe,0.0,0.2891718196788916,177,11,32.0,139,150,162781,71459,0.03125,0.03125,560,0,20.3515625,8.8515625
6652,SearchHost.exe,0.0,2.0226486473585736,1615,33,32.0,58881,55110,17670534,9379819,14.1875,13.21875,260888,0,142.3515625,49.54296875
6668,StartMenuExperienceHost.exe,0.0,1.936285624053323,1189,21,32.0,3359,307,19469468,98256,6.890625,4.90625,46455,0,136.2734375,55.55859375
6844,svchost.exe,0.0,0.1210525410210485,139,3,0.0,1,0,4503,0,0.03125,0.015625,244,0,8.51953125,1.640625
6864,RuntimeBroker.exe,0.0,0.3493928224335168,208,3,32.0,16,0,22122,0,0.328125,0.25,470,0,24.58984375,6.40234375
6880,svchost.exe,0.0,0.3603824616458816,335,7,32.0,15,0,53546,0,0.75,0.78125,1952,0,25.36328125,4.18359375
6944,Widgets.exe,0.0,0.9124730739963491,806,13,32.0,1308,1297,1281918,8435569,2.21875,3.75,5840,0,64.21875,12.25390625
7040,smartscreen.exe,0.0,0.18021898243711346,181,6,32.0,0,0,0,0,0.03125,0.03125,147,0,12.68359375,2.640625
7052,svchost.exe,0.0,0.17966395015366068,210,5,0.0,62,83,311296,1658880,0.078125,0.140625,355,0,12.64453125,6.46875
7172,chrome.exe,0.0,2.497256752939035,544,16,64.0,66098,94846,176946547,138741521,92.40625,12.0,501769,0,175.75390625,237.51171875
7252,chrome.exe,0.0,0.9226856680118798,332,15,64.0,3844,3976,2472339,1740001,1.90625,1.03125,30056,0,64.9375,39.234375
7352,msedgewebview2.exe,0.0,1.724818324057819,1299,46,32.0,31674,26820,86916743,70924286,5.0625,6.484375,118987,0,121.390625,43.82421875
7460,msedgewebview2.exe,0.0,0.11905442480061852,151,7,32.0,16,7,6317,84,0.03125,0.078125,412,0,8.37890625,2.1015625
7696,Code.exe,0.0,1.3992918898127709,325,24,32.0,188,729,1249870,3075536,1.234375,0.96875,40221,0,98.48046875,82.92578125
7768,ctfmon.exe,0.0,0.5311103920359528,616,12,128.0,1,0,16361,0,9.53125,20.15625,792023,0,37.37890625,9.24609375
7860,msedgewebview2.exe,0.0,0.5484829025080243,337,18,32.0,9217,19986,8085400,9972027,2.65625,1.8125,28212,0,38.6015625,12.8671875
7868,msedgewebview2.exe,0.0,0.5891667688851122,386,23,32768.0,9239,6867,7145317,954192,0.578125,1.578125,27675,0,41.46484375,15.23046875
7944,msedgewebview2.exe,0.0,0.2661934831439471,175,10,32.0,1970,1439,6552002,7522616,0.1875,0.203125,4977,0,18.734375,9.01953125
8016,svchost.exe,0.0,0.22900632015261166,188,5,32.0,1,0,6729,0,0.15625,0.125,483,0,16.1171875,2.33203125
8052,msedgewebview2.exe,0.0,1.949106869801082,339,19,64.0,74536,91748,26113041,31751385,20.734375,5.15625,290160,0,137.17578125,99.49609375
8064,ShellExperienceHost.exe,0.0,0.9971154972228959,876,22,32.0,27,0,208822,0,1.453125,0.984375,13942,0,70.17578125,22.69921875
8096,LockApp.exe,0.0,0.9792434576957169,822,12,32.0,11,37,1856,260268,0.9375,0.53125,2749,0,68.91796875,17.01953125
8120,python.exe,0.0,0.3499478547169696,166,5,32.0,160,21,1913490,29312,0.1875,0.109375,4232,0,24.62890625,14.9375
8204,msedge.exe,2.0,2.2721911619989377,1526,56,32.0,4026,2726,18893215,16761757,1.609375,1.125,15697,0,159.9140625,56.2578125
8240,svchost.exe,0.0,0.19803551873594727,198,2,0.0,7,0,81547,0,0.203125,0.25,54,0,13.9375,2.44140625
8260,OpenConsole.exe,0.0,0.16706471731928288,168,6,32.0,309,389,3598,7995,0.015625,0.140625,6461,0,11.7578125,2.35546875
8268,svchost.exe,0.0,0.20946918377507426,256,9,0.0,3,1,529732,160,0.28125,0.375,211,0,14.7421875,3.45703125
8364,RuntimeBroker.exe,0.0,0.3294671634575625,245,4,32.0,5,0,15503,0,0.234375,0.171875,779,0,23.1875,3.23828125
8452,svchost.exe,0.0,0.20458489968068994,238,10,0.0,57,2,88568,131072,0.40625,0.203125,413,0,14.3984375,3.00390625
8528,OpenConsole.exe,0.0,0.26352932818337377,289,7,32.0,3157,4564,74536,115162,0.546875,1.078125,49029,0,18.546875,3.046875
8580,SecurityHealthService.exe,0.0,0.32646998912691755,505,12,0.0,198,9,2468406,206744,1.078125,1.25,6165,0,22.9765625,7.80078125
8632,SecurityHealthSystray.exe,0.0,0.180329988893804,184,1,32.0,1,0,7057,0,0.078125,0.15625,582,0,12.69140625,1.8125
8704,chrome.exe,0.0,0.27168830275012945,208,11,32.0,2106,2831,1260018,883619,0.71875,0.265625,16806,0,19.12109375,9.8046875
8932,NisSrv.exe,0.0,0.18243911157092452,212,4,0.0,1,0,4253,0,0.40625,0.4375,1881,0,12.83984375,4.16015625
9028,svchost.exe,0.0,0.22728572007390807,265,4,0.0,1,0,10355,0,0.21875,0.359375,96,0,15.99609375,2.91015625
9112,powershell.exe,0.0,0.9770233285619058,1049,11,32.0,262,2078,838787,31569,3.359375,6.34375,173295,0,68.76171875,60.47265625
9152,powershell.exe,0.0,0.7915315394319911,496,9,32.0,113,49,297746,1078,3.078125,7.71875,220872,0,55.70703125,53.45703125
9156,conhost.exe,0.0,0.09496602369876844,99,2,32.0,0,0,0,0,0.015625,0.015625,77,0,6.68359375,1.1171875
9268,chrome.exe,0.0,0.7474064728974961,438,20,32768.0,64188,56876,189490297,7515696,20.0,9.765625,618574,0,52.6015625,99.171875
9412,powershell.exe,0.0,0.8622426523438735,739,9,32.0,129,231,298665,4635,2.515625,6.53125,184508,0,60.68359375,55.96484375
9448,Code.exe,0.0,5.5646981706690966,259,15,32.0,10008,528,64502674,208310,13.5625,3.5,40747,0,391.63671875,403.62890625
9520,OpenConsole.exe,0.0,0.16240244613827962,164,5,32.0,34,21,251,478,0.03125,0.03125,2406,0,11.4296875,2.28515625
9768,OneDrive.exe,0.0,1.8526977621653364,1171,35,32.0,1141,14403,15243320,5251476,7.34375,8.390625,19227,0,130.390625,67.203125
9864,Code.exe,0.0,1.4364790528041063,331,22,32.0,2327,890,24591500,4250388,1.890625,1.015625,22299,0,101.09765625,80.5234375
10156,chrome.exe,0.0,2.6410656175816465,1706,44,32.0,348935,130981,883638042,374567631,35.59375,32.0625,826124,0,185.875,93.72265625
10340,UserOOBEBroker.exe,0.0,0.1534109231463448,140,2,32.0,1,0,5496,0,0.09375,0.125,44,0,10.796875,1.70703125
10536,svchost.exe,0.0,0.37159411377162754,263,17,0.0,39,17,163173,124824,2.421875,3.109375,116351,0,26.15234375,15.9921875
10576,svchost.exe,0.0,0.13981263220175202,216,5,0.0,2,1,4967,160,0.015625,0.0625,503,0,9.83984375,1.859375
10600,OneDrive.Sync.Service.exe,0.0,0.6978975932135092,539,16,32.0,375,1106,1781723,424080,0.796875,0.859375,1382,0,49.1171875,37.66796875
10620,Code.exe,0.0,3.591280886852784,466,15,64.0,32176,27300,70405820,103883489,15.1875,2.78125,144021,0,252.75,222.90625
10656,svchost.exe,0.0,0.12021999259586934,154,5,0.0,1,0,5779,0,0.078125,0.171875,48,0,8.4609375,1.578125
10816,Code.exe,0.0,0.4520737948722787,232,7,32.0,32,10,7532,120,0.03125,0.0625,290,0,31.81640625,10.68359375
10848,FileCoAuth.exe,0.0,0.5031922681782786,461,7,32.0,477,624,267814,139850,0.390625,0.28125,1754,0,35.4140625,13.33203125
11004,WindowsTerminal.exe,1.9,1.4779399643780282,1099,23,32.0,134323,4159,3004427,72453,65.5,49.09375,384806,0,104.015625,42.8125
11084,chrome.exe,0.0,0.39268534054283266,234,14,64.0,337,329,90576,120232,0.109375,0.21875,3162,0,27.63671875,18.5546875
11152,svchost.exe,0.0,0.13182016732003216,222,6,0.0,1,0,6010,0,0.078125,0.25,76,0,9.27734375,1.95703125
11436,audiodg.exe,0.0,0.22001479716067684,240,4,32.0,0,0,0,0,0.046875,0.015625,431,0,15.484375,6.18359375
12144,msedge.exe,0.0,0.4511302399904091,211,16,64.0,46,69,75984,10248,0.0625,0.03125,607,0,31.75,16.25390625
0,System Idle Process,287.7,0.0001110064566905534,0,12,0.0,0,0,0,0,0.0,58385.03125,18247824,0,0.0078125,0.05859375
4,System,9.7,0.0023866388188468982,3715,156,0.0,542,2391,654472,126765464,0.0,698.6875,4878630,0,0.16796875,0.0390625
124,Registry,0.0,0.877173020768753,0,4,0.0,4,4292,2048,81248256,0.0,2.0,7702,0,61.734375,5.9765625
472,smss.exe,0.0,0.020591697716097656,58,2,0.0,24,13,2795354,24740,0.0625,0.265625,1427,0,1.44921875,1.140625
512,fontdrvhost.exe,0.0,0.05394913795160896,43,5,0.0,0,0,0,0,0.015625,0.015625,1462,0,3.796875,1.3984375
516,fontdrvhost.exe,0.0,0.06826897086469035,43,5,0.0,0,0,0,0,0.03125,0.09375,3941,0,4.8046875,1.7734375
648,csrss.exe,0.0,0.09923977228135474,521,11,0.0,387,0,301701,0,0.515625,1.953125,38782,0,6.984375,1.96875
720,wininit.exe,0.0,0.12732440582406476,160,2,0.0,2,0,36868,0,0.03125,0.203125,591,0,8.9609375,1.4921875
728,csrss.exe,0.0,0.10395754669070326,670,14,0.0,21246,0,681774,0,0.734375,16.96875,388015,0,7.31640625,2.16796875
792,winlogon.exe,0.0,0.22750773298728919,290,3,0.0,3,1,365824,160,0.0625,0.265625,1374,0,16.01171875,2.47265625
868,services.exe,0.0,0.14547396149297023,621,8,0.0,3,1,1140,160,3.234375,4.578125,5378,0,10.23828125,4.7421875
888,lsass.exe,0.0,0.41355455440065675,1584,11,0.0,829,295,716518,313742,84.9375,84.921875,715789,0,29.10546875,8.640625
964,svchost.exe,0.0,0.24338165629403832,1229,16,0.0,33,0,16896,0,12.53125,10.84375,31366,0,17.12890625,7.484375
968,svchost.exe,0.0,0.2189602358221166,260,5,0.0,33,0,16896,0,0.46875,0.359375,235,0,15.41015625,2.3984375
976,msedgewebview2.exe,0.0,0.1193874441706902,151,7,32.0,19,10,6431,120,0.03125,0.046875,151,0,8.40234375,2.09765625
1016,svchost.exe,0.0,0.5788431684128907,1269,15,0.0,111,11,1316268,204800,5.421875,7.890625,12479,0,40.73828125,11.98046875
1032,svchost.exe,0.0,0.18588031172833167,321,7,0.0,0,0,0,0,0.6875,0.796875,2183,0,13.08203125,2.76953125
1096,chrome.exe,0.0,0.7338081819529033,365,16,32.0,38555,133793,33883525,124165987,20.03125,14.625,164310,0,51.64453125,22.26171875
1132,dwm.exe,6.0,1.8864437249992645,1375,29,0.0,117243,0,3246832,0,173.0625,83.09375,1129260,0,132.765625,106.5
1156,svchost.exe,0.0,0.14231027747728947,202,4,0.0,9,0,18432,0,0.15625,0.25,479,0,10.015625,2.0546875
1164,svchost.exe,0.0,0.3613815197560966,361,8,0.0,1902,356,52483390,5776916,69.46875,60.5625,495895,0,25.43359375,5.28125
1232,svchost.exe,0.0,0.09463300432869677,117,3,0.0,0,0,0,0,0.015625,0.03125,146,0,6.66015625,1.25
1272,MemCompression,0.0,3.9053736560587047,0,26,0.0,0,0,0,0,0.0,25.5625,225546,0,274.85546875,0.83984375
1352,svchost.exe,0.0,0.1788869049568268,218,2,0.0,0,0,0,0,0.21875,0.125,84,0,12.58984375,2.53515625
1364,svchost.exe,0.0,0.2099687128301818,262,2,0.0,0,0,0,0,0.140625,0.25,63,0,14.77734375,1.9765625
1416,Code.exe,0.0,0.7752690935268249,371,16,32768.0,12590,12091,96298401,1422160,0.96875,1.375,46119,0,54.5625,15.63671875
1428,svchost.exe,0.0,0.13281922543024713,175,4,0.0,0,0,0,0,0.078125,0.09375,424,0,9.34765625,1.734375
1472,svchost.exe,0.0,0.10856431464336122,141,4,0.0,0,0,0,0,0.359375,0.21875,122,0,7.640625,4.59375
1520,svchost.exe,0.0,0.11100645669055341,185,3,0.0,0,0,0,0,0.1875,0.140625,8690,0,7.8125,1.73046875
